userWallet,credit_score,total_transactions,total_usd_volume,activity_duration_days,risk_category
0x02e6277d21ba364845200b883a7a230f173122a8,906,102,4.3835826521819117e+23,56.0,Excellent
0x05808c037e9f759096cf77a7f1f50a9f01dd5c56,905,102,3.006934386938992e+22,31.2,Excellent
0x013b81ad989b9009f4dab4c804c6007882f9a190,904,55,1.2883034397509083e+23,46.2,Excellent
0x0560f3ac84eecbcc480af7ebe93313da8f7ea414,904,211,1.5190802016066972e+23,88.8,Excellent
0x02bee0a17903cc1f2f48b4514ec23aae547fe4a3,904,71,4.031001854713013e+21,107.1,Excellent
0x0094cb1657ee9da34b93845aa142eaa59169ee05,904,245,2.5038485702312657e+22,115.5,Excellent
0x00d3addc7cb1637c73359d41949a1a369d7f092a,903,107,1.9341487356918005e+23,39.5,Excellent
0x05a726aff20ab6b723a147fcb19d3fa6433d627d,903,115,1.73019486389943e+24,116.8,Excellent
0x04f648bb839033bba7c6341529bd7dd6fd6d413e,903,148,6.73241725211291e+23,106.3,Excellent
0x036dbbd11bf2958377e459cb75fec9bb9944785a,902,47,3.136509749436339e+21,110.0,Excellent
0x00bf2f290d3aef716cd8127acc153c273c23c538,902,103,7.426188583076185e+22,140.1,Excellent
0x04d9f6ecd792e48a09fa5dc2138baed8e628a7e5,901,1089,5.1840409421818685e+22,81.1,Excellent
0x01a580e1370e798c48abda6b2f605035f2127d5c,901,253,7.890800114139921e+22,80.1,Excellent
0x02b40f2f6b29db95866775e732352f6686885fa3,901,49,1.3095078364448193e+23,73.0,Excellent
0x05327ca0590e721d5af0549ec40415d05155a2a4,899,25,9.593653080198576e+21,121.4,Excellent
0x049eebc628e60f804daae62df6c3715b9273b2c2,895,329,1.587564670593019e+22,64.4,Excellent
0x02ad56758fef56099cf57531d0c97bb1aa1f076e,895,95,1.841237019316917e+23,126.1,Excellent
0x02d14eafbf2724a0bc5e7c6fb21a799c7e1eb2b5,894,150,1.4606049958551074e+22,79.9,Excellent
0x002de04d579930686698abab5f48bda0b24fb9fc,893,85,7.85974355768264e+22,80.3,Excellent
0x0476f3ee277eb20568ee2369b337f3ce55bc558a,893,763,7.740203648733371e+24,130.3,Excellent
0x052f348a45620f2c26926d2b58548c7eaeadf870,891,166,4.197127075259699e+23,106.9,Excellent
0x05b95e058f04185f3aa8c47f025c2ce00a50ad6e,889,65,4.788122612587381e+19,97.0,Excellent
0x048aaa70a3e351c9e3b487ba78fa03efbf062067,888,61,5.233562787975137e+21,91.9,Excellent
0x02a0f1a59940dddb35a38327e93d7abb49e285b1,886,115,2.3148440378054587e+22,117.5,Excellent
0x008af94ec70860b667caec3a2e2de07597db90c6,885,39,1.1552087729214681e+22,79.1,Excellent
0x03bf7fd823908e56c8785e4c7ebfc46fc6a6e41b,884,175,4.678015175749247e+24,97.9,Excellent
0x003a85c562730b196f7cba202a2515f2ff855736,883,177,2.5998366604779553e+24,102.3,Excellent
0x04f004eb2431e8f79fe0c671c807ecb2f5cc71ff,882,29,2.0515343619858138e+21,110.3,Excellent
0x0108678baac8accdcbff80294564f74725330907,881,25,4.175759040730018e+22,52.5,Excellent
0x042a154ede61e25b4220cbc83e76c79f8c0d3926,879,66,1.8955850136085747e+23,65.5,Excellent
0x045751c6c2dc89cb7d5976649eb63de2b2d77f5b,879,461,4.625432502185446e+24,72.8,Excellent
0x046b8f645b2a09f9527f191fbcb6491094668a45,878,86,3.722940153247165e+23,82.4,Excellent
0x02e2e0296a3caee924b900b69f7b3ebd16729ecc,877,43,1.5786413135219153e+22,43.7,Excellent
0x03bcc3e7b883f353380babdb76bd914630954a09,877,214,1.5142572429317183e+21,86.4,Excellent
0x043fdabff38a1e9897f2f5a860b8b88f9a0a9f24,875,159,5.173978109632579e+21,95.9,Excellent
0x00da65b9d6ea469301021381f9b16cf3e80fa8b1,875,270,1.2520804167234035e+25,47.5,Excellent
0x00645dd21310882cc32399abcb54e0a05b3b5d1d,874,28,6.87172417867902e+22,108.7,Excellent
0x046ae0974283a9acf5cb4228a93d000c6d0ffd76,874,281,3.3873078515183817e+21,90.4,Excellent
0x00a09297f06b3790a37cffb2de91a0fccf0d5bac,872,160,1.49082584576633e+20,78.2,Excellent
0x00495585ecf70ad7dd71797c2a22951ed92b9a24,872,30,6.452126075078904e+20,41.0,Excellent
0x02b42cadcb1d54d586d7b19c4b40ccb858d61640,871,54,2.1835932546480583e+22,57.8,Excellent
0x02debfb86afb43492c458869bd7904a897f08237,870,256,1.0933568320501092e+22,55.9,Excellent
0x05f54eaf83bb7cb628a6424beb527eed605ac610,869,28,1.1599350462992754e+22,54.1,Excellent
0x0056d1fd2ca3c0f3a7b6ed6cdd1f1f104b4bf9a9,869,17,5.207265790820217e+22,113.2,Excellent
0x011c3a587254b7312d78f2c8ba5adc41a1ed1357,868,234,6.03149698265814e+22,85.8,Excellent
0x03b16ab6e23bdbeeab719d8e4c49d63674876253,868,597,3.574784604083766e+24,141.7,Excellent
0x01cb1826cd50f7f15626a1283ae812ad0a273388,868,188,3.4644736833807062e+22,63.4,Excellent
0x002d2715b179d0db3e17cc28317a98f2f65e6884,865,253,3.495436539742931e+23,101.9,Excellent
0x013bbe7e89333bb26c0959f547adcd77f54ffa80,865,105,4.531744456542575e+23,82.9,Excellent
0x055a875cd844f04a2c2ee1bb72999d7e7b40761d,865,379,9.253371920651243e+22,116.9,Excellent
0x05b43571094e8613c2e993b4a8534ef974e84d75,863,22,1.4934787920617186e+21,85.0,Excellent
0x04e492d349e82cafdc314cc0d966592b6ee9df11,863,675,6.264935675526768e+23,78.1,Excellent
0x021690c899ae56dbcf851ba0305659d39b557622,862,57,4.6087541649687666e+21,77.9,Excellent
0x02e07cc7e01b1ca69c0a6de55bfd9b99a8f0af3a,862,49,1.5062595653488182e+23,85.7,Excellent
0x01b3b5ae37f70e6540abc2667fec68c19b2e7a1d,861,77,8.125465843548637e+23,58.4,Excellent
0x01a762e99a74132ff61cebd92262fc54463320e5,861,124,2.2351241768745155e+21,46.4,Excellent
0x008a34511b9808c41237d7568e409141ab10796b,861,38,3.33290593838923e+21,78.4,Excellent
0x053a19dbc9fd177b7d71de03d9ff7475e89f9d53,861,13,2.737239840223893e+21,78.0,Excellent
0x04c18cbf703c72591f1800b52d801a948f55e00c,861,66,1.9910339543753137e+23,100.2,Excellent
0x00389de87cae34a6f89e13cc8225c4984add8b37,860,610,5.182769764854272e+24,58.3,Excellent
0x0540003bbd356a49bc2e74a3f8f872dc318dc46b,860,91,6.30646436145928e+23,64.4,Excellent
0x03ed358b4ea92c6ff41ebf5f0f8f22847b993d2f,860,138,8.974955306401248e+21,119.8,Excellent
0x00bdc8be263d20bb3a83aaeadfef258dd409e2df,859,224,1.6596370879077687e+23,114.0,Excellent
0x02faf4316dcb9330751f3677436aa849aa93851b,859,248,6.872858184097148e+23,117.8,Excellent
0x0392ea959f551f01d432e1fa26110ef69d55e4c1,858,52,7.859867272235625e+22,84.5,Excellent
0x05da09fd7515bd600b89b89c0039d09bd91bf0c2,858,44,6.434756266982951e+22,92.1,Excellent
0x0309146e7b8baefa23f193632ef74602768af954,858,329,3.2428458768939583e+22,53.2,Excellent
0x02d27262a78932e692eb9330646987559670bbda,858,40,6.002285786548545e+21,81.3,Excellent
0x0470a46f57515cb7d112acde06f410c3111575b0,858,118,5.4147717510506844e+23,115.4,Excellent
0x033ffcf5d843a16da224f62b5cb1c4980310f796,857,136,4.86538162032624e+23,57.1,Excellent
0x050ee024a0ffd8b9bd383271835b27dd66c3fec3,857,442,2.3834437980168105e+24,126.0,Excellent
0x04ecb5f063d5ffbaf3268af1a3ccaac296f74121,856,11,2.692519083931756e+23,86.3,Excellent
0x010d23b534006f4e4f174a7530d7d9e3c131732a,856,92,3.5148974631629095e+22,115.4,Excellent
0x04fdac80b3ca0b9066bd275f176dc807e3908a8e,856,66,9.371904634490827e+21,80.6,Excellent
0x03402343d6192caec409b0570cf59905969adc2a,855,104,7.631999112033973e+21,74.9,Excellent
0x00f5481262d4845b292ba0c41752de258b3bbeec,855,83,3.1971591608197147e+23,33.3,Excellent
0x0400083c67fd63db5f1ae087efd9583430b663cf,855,101,1.0718571407731661e+23,125.0,Excellent
0x00515e4f8a5c52a526f48c3ea07238143e2c04fc,854,68,2.8137889360844423e+21,84.9,Excellent
0x013e074822e7776516a0c69dce430ec1fdb26c0d,854,22,7.467515260280777e+21,44.7,Excellent
0x00a8bec03805bcfaafab1050dbcf90f57982d750,854,153,6.213247191333761e+23,120.3,Excellent
0x026a55d367905cc892280e5ba04d64e9d745b86c,853,127,6.13696597085598e+23,120.7,Excellent
0x0567d99a4420b8da0fd91c5ecba78955c04974f0,852,103,8.902697715920824e+20,80.2,Excellent
0x0553aeaaa787ca5bbca6e172d3fde33957ff4b91,852,67,7.606291585609967e+22,136.2,Excellent
0x03922322741e50ee5a589aedc9fc7ed74a3e1e32,851,58,2.1247486712903984e+23,51.8,Excellent
0x04d77f0bcc07515b0ba5d67bb812d6dcf1f1b2f6,851,51,1.3787615737611763e+21,35.8,Excellent
0x05d2f53c5bd50defe43628e01197b47dcfa1764c,851,753,3.0170276323435647e+24,70.3,Excellent
0x0618e615c8c9b5efc8c8eadc68be7182bdc455e2,850,22,7.585884981178474e+21,31.1,Excellent
0x0186d975cfe19772e58f4d314a52984b31a2cbeb,850,116,7.35091202061867e+23,103.1,Excellent
0x049b8457a23bef5354c65d1cbbfa3bb897782ec1,850,165,7.24807001222562e+22,69.9,Excellent
0x00402e826833fbeb6f67072f3df3c8554a0b10e6,849,39,9.1172035855041e+22,31.9,Excellent
0x0107aacde8714bd13357fc856d6b93b3f8b543e9,849,130,4.8971140403463086e+23,52.0,Excellent
0x05e1f287dde4f9514ed22000a62a45b0da9dc409,849,197,1.3170905163532488e+23,43.3,Excellent
0x00e22b85d329650e35a9d664b7c408a57820f13f,848,156,4.030206926526425e+23,94.2,Excellent
0x02b0f2fdd791d194a5d941579a696894d67c38b2,848,21,6.084584972850279e+20,59.2,Excellent
0x008f96aab23e71c98398e6c5dabf2ee2ded9f15d,845,184,2.1086377821608805e+22,139.3,Excellent
0x047a1f7235a03aa9016061b16b54da901044fe0e,845,40,3.0152844420393927e+22,44.4,Excellent
0x020265bc7ecc8b018c496f8bc4c6aa3ed1784e5a,845,29,3.8315061316297295e+22,81.2,Excellent
0x022b755d4b5db88a2c32499fa667904fbe24c928,843,100,4.670208136924785e+22,86.4,Excellent
0x020793b7db7551b1d70877579370096b3db0db07,841,242,3.437812174100355e+23,75.5,Excellent
0x0474b7e51abbb836a44b68dc6382134bddce6538,840,147,3.3422196791425184e+23,86.5,Excellent
0x05b26f4df5372eefabb23039b69e2eabc8684666,840,34,6.082456207955509e+21,82.4,Excellent
0x0577ba0a9145afa894becc8f2387711fd48a6e04,840,37,1.1298883428365237e+22,81.6,Excellent
0x038db6c62d0f072616e2b8db7d3d7cfc829f7f65,840,24,1.8864580378903846e+23,38.3,Excellent
0x0018d044b946ede86b43bb3b964a45772a5abeb9,840,22,6.327048077727703e+22,53.3,Excellent
0x026e0a569b23b6afac6520a977fcb83192f370f1,839,15,1.7659605108184823e+22,80.7,Excellent
0x005f16f017aa933bb41965b52848ceb8ee48b171,839,767,5.86715406286633e+22,153.8,Excellent
0x00861fefcfef0a542b0a6c90ce1ee575e257a6c7,839,66,1.2673581222641575e+22,98.7,Excellent
0x051b903060920fc5751479a85ad5340587267a53,839,39,9.71539966168874e+21,57.3,Excellent
0x03917b0fc420092b18dcb24e719f44600211eb45,839,14,1.6241852016413405e+21,70.9,Excellent
0x04b8b16b405662a4d14e27d943036dbd31aab01a,839,14,9.906529029370874e+21,46.2,Excellent
0x00ab84845d68063c1dcd2a5f2cead5f253b249a2,839,148,2.8608461408284516e+21,137.9,Excellent
0x00707aa2eeff1ddb8b22bd1539f92818c9cb8a85,838,39,3.5118217159095396e+23,74.0,Excellent
0x02e51d6ce16201a28eaa7de9c8c4bfed25b4b081,838,112,1.6629640231854907e+24,47.0,Excellent
0x03a3d0eb17509dc9fb2a892ac1eab68419deb19b,837,19,1.7184536863473208e+21,80.4,Excellent
0x018ed52cf0254857c3d2cd4ad06a673c56eca644,837,141,1.9758576779237037e+23,69.9,Excellent
0x01f0592d70220b0bc1802d27d90c22ff40dd7161,837,74,5.552309135559815e+21,30.3,Excellent
0x0415a37766ef8a945c1a38dd839c8b1f4feaecaa,836,649,7.916998478837101e+23,73.1,Excellent
0x0556ba62cf5325e058d1ab758f76e9c0bb201ed9,836,17,8.830581406338594e+21,45.5,Excellent
0x00d831f24309b3271297f19b8e9be846c8c531c4,836,141,6.27137249080359e+23,60.9,Excellent
0x029de7a8c9511978c4795beccf60553d36318cfd,835,20,3.78483027016548e+22,59.0,Excellent
0x01952b83f4fbb1fdd4bf11087638f0821175f7b4,835,21,9.318130390180037e+20,79.7,Excellent
0x0202ef0ff22c58039de970c4460c9ebd2ed6b309,835,63,3.803528201536185e+20,84.1,Excellent
0x006acbf79f7c4580fa01ffa48085d832592f1b63,835,18,6.842876866645472e+22,61.6,Excellent
0x009b21f6f8273fe12dbc9c8025ca27db7de16b8c,834,187,3.391421433879644e+21,82.0,Excellent
0x04ddf96a61c4c44731f04df4e963f61cfe3c9c6d,834,147,7.845182349991337e+24,68.0,Excellent
0x0508c3a6cb083b03d760a2cd7bd28a0a32a63e84,834,288,2.572003030424531e+24,44.8,Excellent
0x03ce47abe931e23bf221eb5453c1e03a4f60d949,834,115,1.899733998046521e+22,59.8,Excellent
0x02a904869e43d0be61a71f2e6e7af45f9dd27988,834,22,4.3755616954626214e+23,72.7,Excellent
0x019b00a4c8bf5a4a75d7be5a498f2d41e6bf41f2,833,44,1.988413115761639e+23,81.0,Excellent
0x03a27a0bd8c8451480e04535690cf131423836e3,833,19,1.38114199046129e+22,47.0,Excellent
0x04f1d25968cc1ad76e773d1b06acee6c502c93dd,833,149,1.7844487351007525e+22,100.0,Excellent
0x0557d5aeec6f2dbffdc2a4cdce59ae3286a2e896,832,138,6.507343597199518e+22,50.5,Excellent
0x04c89b6513400df610c062f09bc243a743f34fd9,832,85,6.089718812817315e+22,106.1,Excellent
0x049569adb8a1e8a9349e9f1111c7b7993a4612eb,832,68,2.1543132934675748e+22,83.9,Excellent
0x00002b503a75998c97508916a74fdb41934fa030,832,147,4.916297965137643e+24,125.3,Excellent
0x0305cf6d8af11679eee6aa68c528ed25f837aa4f,831,26,7.517929575512661e+22,34.8,Excellent
0x047a96ef72d7ee6a3f193bdb92e998fb300265df,831,820,1.2674660958736482e+24,71.4,Excellent
0x037bef2da33513cfb998e36894d073773d3285f8,830,92,1.333046303983241e+25,74.6,Excellent
0x031d132adc8141130bd55be6583edded884497f4,829,44,1.9315155625193992e+21,50.4,Excellent
0x037949068f0cff6d57d7253398e60577ccd86dd3,829,11,4.422259973247229e+21,57.3,Excellent
0x01445326f7023b6c69eeb0eccbbac6797af3e76c,829,187,5.676626639920339e+22,54.6,Excellent
0x03e4c2f13d937db549d35f606fc74a1034de362b,828,30,3.795895889923135e+22,83.8,Excellent
0x0041dac13d9365b4d695fb612950dc71884f8db1,828,154,9.364361932409032e+21,51.3,Excellent
0x0600de154559da51a7b68388cedc72bdda941ddb,828,22,1.962447756168247e+22,46.3,Excellent
0x0057bd83a142da84b6404616c683e21e7dd6fa5f,827,45,8.068253506946884e+20,71.4,Excellent
0x04803b46c2a8951a2ce0793d58db51b29656dfbe,827,63,2.627962673410607e+22,109.1,Excellent
0x048e1e942cecde524fb35ebd625749b0be00f563,827,175,1.3574873586743424e+23,86.2,Excellent
0x05e5a3e89794434042d4b8e51853fe28353f3343,827,59,2.0186517572651857e+20,80.1,Excellent
0x0426266cf573388100183343b6e26b8bf5e4fdbb,827,193,2.106456372238217e+24,77.1,Excellent
0x04fc43e8f4da7fbae135cb0ae73b8913d8e044d8,827,97,1.8652133945992861e+21,73.0,Excellent
0x024053954b25e537a1eec0473d59e9d5e0b54200,826,29,5.289504887098412e+23,44.9,Excellent
0x0524c91701fcc461c90b3120769b5f295f706a16,826,41,1.2771716426181414e+22,44.6,Excellent
0x02d77fc7307cd7ec962eda62d25936156a7a6492,825,78,5.622325433903396e+21,78.8,Excellent
0x04b5c5d08ddef275535c5a95a62f803fc1cd3dba,825,211,4.720242820470368e+23,79.1,Excellent
0x025792a600b4844383a838f9ca9d97394ad23369,825,22,3.144913221858769e+21,60.1,Excellent
0x00dd72466c9bc28c9765b406ea147c1e15dbc7ab,825,40,7.057401055315554e+21,121.8,Excellent
0x034c69160676cd0f0ee35719a93343ea066e31a4,824,24,2.5068105941526383e+23,97.0,Excellent
0x028d10812993bf789c9c8789316f03e1985f07f2,824,13,2.693834643585259e+22,73.0,Excellent
0x05c6df5d4cc1158629ffef15d67e34eee73a77b2,824,32,7.34758775185665e+24,31.4,Excellent
0x0259575795db48a8dbc036ca387762c95ceee9b5,824,25,1.81681443084215e+23,49.6,Excellent
0x03158305104b385e1a566fa7153dfb13da15f410,824,20,3.843992787646817e+21,31.0,Excellent
0x021fe7301b7e40ef740ba6bc4957864967aaa2f1,824,18,3.7278502535012606e+21,60.3,Excellent
0x02736d5c8dcea65539993d143a3de90cebca9c3c,823,111,1.8185797274265e+23,82.2,Excellent
0x00010a708585ba4812a1c5976182626c75cb7a6b,822,29,1.770176221970118e+21,79.5,Excellent
0x000000003ce0cf2c037493b1dc087204bd7f713e,822,492,8.908806796796658e+23,123.5,Excellent
0x038b15767ebe38fc2002b8c597ec9054021dcf7c,820,51,3.461441181074545e+23,49.4,Excellent
0x01a0f8f364c2fec07cfcdebd2980da3f950d0410,820,106,8.202594642804415e+22,73.6,Excellent
0x00d29fbc981d05edba69bc0909e391a132271357,819,64,6.666647245154837e+23,83.7,Excellent
0x00000087c4cebffb95746d1935de7fbcab092f40,819,250,4.653640545421354e+22,100.5,Excellent
0x05b56b2b0e2f395f2f814c09c845ecf656b80b1d,819,147,3.174035048964936e+22,63.4,Excellent
0x0340af84322e83ae445c375c10a6ac90989b85f6,818,128,4.756305549049551e+22,30.7,Excellent
0x021ac46670e1c00e1151bb6dd05b4d1bb10aa4ca,817,21,2517798610330.27,33.9,Excellent
0x05ebf7b089a859af295b4f4d96673edcb5ef6621,816,303,1.2487684702883966e+24,133.8,Excellent
0x035648071a7ebb842fc55a01e44ce01ab8b844ed,816,159,1.565367534766781e+22,82.1,Excellent
0x05279be7b95aadfd686d24fcf6740869c81b7532,816,98,2.605231844150149e+22,40.0,Excellent
0x04d3878b491afb02abaec1dc7964e69cd01781be,815,7,3.210363002819227e+23,87.2,Excellent
0x045fd671c4d7da33629475def9ababecc339c020,815,23,2.5753322616143675e+20,73.1,Excellent
0x05a03c1a64d75016a870f5abde6c85539cd38ec8,815,51,1.3626742366019397e+22,104.5,Excellent
0x00f777857b95c1d0fe7564ae343d1a00c80b38f1,813,229,2.5596878480287424e+21,61.9,Excellent
0x02b936ff5f54ef91b7e9e6fcd8aaed1160ee01c2,813,148,1.3520544545942964e+24,74.6,Excellent
0x01c5c4ca74a665e40e96ed8ff221500b6366b8a6,813,350,2.4634670047608545e+23,91.3,Excellent
0x026ad6ecd5124809d5f3b393f6a94ac195ca55b9,811,6,3.850633105146179e+20,113.3,Excellent
0x057c1c29f1e071c8a4f92baf4255e8b76e5f8eed,811,33,3.699448361531981e+22,80.8,Excellent
0x04261f3a4f4e244b80ed7e3d8b7ff28abd6c4dc9,811,50,4.2834335221848914e+21,57.8,Excellent
0x0036bc671c03460dec7d0ab24f45df0cf33d042b,811,12,3.7339588543606146e+21,70.1,Excellent
0x0135249c1897454959da69ac1481df6c1d4023a8,810,65,1.6941254137101188e+22,106.1,Excellent
0x05d5b5d8f81b61ae473cf223aac694f13517a939,810,17,2.33344686190343e+20,36.2,Excellent
0x045e2a9db6ca319f6b667813c6088067eb52851e,810,224,4.07536026464411e+24,55.2,Excellent
0x047be7607fbf63467e2ca66af84b1cffd69c7bf2,809,12,2.5468527254290576e+20,56.7,Excellent
0x008183a11eacc113e85007bd14bfbd6da3f687f9,809,63,4.792754938710488e+21,95.4,Excellent
0x02e4ac7c366cf7320bc78b816b162b26d605a4bd,809,10,9.719654413677447e+21,77.9,Excellent
0x040df4fd17862caf41045d1c7e7ca420322617d4,808,172,2.656484384849505e+24,96.6,Excellent
0x00ba8ccbf0c1ce62834d72706fe3236387f5da35,808,13,1.7765579493999102e+22,48.8,Excellent
0x030347c0ef50f625e3172ddeabb921067e85730c,808,49,1.5337174932363729e+21,70.1,Excellent
0x02b664da23a3b5480f710785fd5926ee1d055788,807,22,3.294461538615012e+21,43.1,Excellent
0x00b8e23fe7ddea6791131decc5117023dc03cfb0,807,45,9.255162173298808e+20,76.0,Excellent
0x02d9cd8f4b86421bfef64deaac6afe246eefaa0b,807,4,3.20127392810554e+21,103.2,Excellent
0x05ed735c93879d84d082425572fe5ff827a0db56,807,122,6.55518532293168e+21,72.2,Excellent
0x029f19fc5a2425a4f04c3e1f6855af0afbcc3c93,806,160,2.080495092253197e+21,87.7,Excellent
0x01cf15d50e91ea8731572a07afbf782233339ad7,805,100,5.100418287934019e+21,78.0,Excellent
0x05b024e370ae7d3e3678a52d5fb68ce9c4ab30f5,805,27,2.2923661365057694e+21,89.0,Excellent
0x03630da783ae465b0afb812f7bc6374d677b0829,805,24,5.036585800441676e+20,59.7,Excellent
0x02a5f4b01a1e60c1c1e96b7e5ccff7b083af88b1,804,9,1.073036989659566e+22,58.7,Excellent
0x039e8cb6cf84518696939ea80ff8e021b871fde9,804,107,1.7449505736492194e+20,76.4,Excellent
0x0611afbf50787361164004b2596719e5116b7315,804,31,2.4839219127765986e+22,18.5,Excellent
0x05a9015530f7e4261797b1506af6fb4d8981f918,803,13,5.276246226659407e+21,7.0,Excellent
0x0143bd780dab8a7302141c3fdb8ebade1fb56f92,803,28,1.216568642810766e+21,67.0,Excellent
0x01b3f02ff86fca973084faa9e4e24014c1dfcb8f,803,87,3.195276194906696e+21,101.2,Excellent
0x028560d6943435b7e129c1872b67f36d65ce3b41,803,7,3.4705037021755086e+21,51.8,Excellent
0x0073943c869d55da3b7c8ab40ee3c2a68b65fb33,802,63,2.4455892915870822e+23,22.1,Excellent
0x02f0e7c42da6ae4eea04c1df5f83f8178d33cc0b,802,10,2.0171634669904727e+21,69.7,Excellent
0x02803ab2f41603f75d57ab98871baf84b0c80e90,801,28,1.5863146031403338e+22,26.8,Excellent
0x048a81418e95b13b47b63f4a784a1ff5542e72cc,801,12,3.630624097343642e+21,78.1,Excellent
0x018e2339fe910022db81f0df861ff792d406cf3d,801,87,2.630509190634989e+22,108.0,Excellent
0x02a73cd5c9135b68798838407a136b41ddea3c5e,800,87,1.3607532053428051e+22,56.3,Low Risk
0x02a8f422e4623cf409b2a1a64a603b16357ea9da,800,52,5.282762512265096e+20,66.1,Excellent
0x03289bb5b77a418cfbadec78a7c206b1eb6444c5,800,17,5.2513545057683184e+20,58.6,Excellent
0x02f7467aecaae0863706f954c7adfe47b5e5f538,800,15,7.350379952898486e+20,31.3,Low Risk
0x00778698bbc902543b596af6e7c0aa13b614162d,800,48,1.0521407770057633e+22,76.6,Excellent
